"  [ 144.553660695430779, -37.691386095739091 ] "
"  [ 144.743550578929444, -37.871841424325261 ] "
"  [ 144.814986964499411, -37.704382582919727 ] "
"  [ 144.539824198523689, -38.236380516474057 ] "
"  [ 144.604524315271817, -37.690901101134223 ] "
"  [ 146.289217969626804, -36.771588905340799 ] "
"  [ 145.322450861405827, -38.024589477746133 ] "
"  [ 141.270740868236174, -37.441459066427171 ] "
"  [ 143.380195897974659, -37.448806915108896 ] "
"  [ 146.000770692740247, -36.467309717159296 ] "
"  [ 144.476921048004016, -37.687791241732306 ] "
"  [ 145.333478260281538, -38.520994606950318 ] "
"  [ 141.638527510704478, -37.238460178802335 ] "
"  [ 142.743120130232683, -36.071129255394276 ] "
"  [ 141.725401898204382, -37.602997034894962 ] "
"  [ 144.584450189257439, -36.560000083563651 ] "
"  [ 144.95266102169245, -37.502370474311768 ] "
"  [ 144.457140434589206, -38.284577573260442 ] "
"  [ 144.155169968258804, -37.953869383154334 ] "
"  [ 144.863133603216852, -37.778855512201417 ] "
"  [ 145.145971783767891, -38.14856732674771 ] "
"  [ 145.21803451413308, -38.000850566861658 ] "
"  [ 143.40964797461686, -36.28274297288651 ] "
"  [ 145.525280379273596, -37.742479759304601 ] "
"  [ 145.525280379273596, -37.742479759304601 ] "
"  [ 143.553129052321481, -38.751140032195273 ] "
"  [ 145.702486588516308, -37.311171243887429 ] "
"  [ 146.257417983770608, -36.425819808555858 ] "
"  [ 144.174554529506366, -38.028238307436069 ] "
"  [ 144.174554529506366, -38.028238307436069 ] "
"  [ 146.36202482847284, -36.310969196662583 ] "
"  [ 145.526970756928677, -38.064173230983286 ] "
"  [ 145.620215176312314, -38.068510106402933 ] "
"  [ 147.211718865851594, -36.380560769262814 ] "
"  [ 144.973589838085474, -37.865790101450415 ] "
"  [ 149.133621241347868, -37.570466776416929 ] "
"  [ 145.345527198466783, -38.043070593404877 ] "
"  [ 144.49870903517126, -36.617178006388514 ] "
"  [ 145.692620632868085, -37.19555174500281 ] "
"  [ 145.416262091097394, -36.380856938747549 ] "
"  [ 145.284049848730461, -38.382381958550887 ] "
"  [ 144.829088021912725, -37.746098170749441 ] "
"  [ 145.498959577863701, -38.026753714215609 ] "
"  [ 143.836630528705285, -37.572751612112029 ] "
"  [ 146.691557848862658, -38.266520606401535 ] "
"  [ 144.97717389474883, -37.877539679805977 ] "
"  [ 145.348370212086706, -37.757218301339613 ] "
"  [ 142.161010504356341, -34.22730846902752 ] "
"  [ 143.776777202245825, -36.95248906267733 ] "
"  [ 145.119522440512668, -37.852926633583941 ] "
"  [ 144.222848934531726, -37.598975838482339 ] "
"  [ 144.82586539542234, -37.742382482285173 ] "
"  [ 145.117237569774431, -37.710756519407006 ] "
"  [ 145.48835004644809, -37.924999960327156 ] "
"  [ 145.956980737334533, -37.8974521822933 ] "
"  [ 141.54683281861, -38.320281359960084 ] "
"  [ 144.945353747667411, -37.792523883944085 ] "
"  [ 146.553594253795609, -38.157649213003914 ] "
"  [ 143.948190230248457, -37.541040195029623 ] "
"  [ 145.047946929607605, -37.763194662148486 ] "
"  [ 145.23802144960996, -38.187198419844748 ] "
"  [ 144.340380440664433, -38.16657722737579 ] "
"  [ 145.148965369555128, -38.376602023803514 ] "
"  [ 146.120604660423197, -36.495521860597428 ] "
"  [ 146.120604660423197, -36.495521860597428 ] "
"  [ 145.180215430322676, -38.019090630778749 ] "
"  [ 145.002131270091127, -37.939512912022622 ] "
"  [ 145.813799138078622, -36.60610832445095 ] "
"  [ 145.162407342315049, -38.189479591445561 ] "
"  [ 145.301113809187456, -36.325489316329261 ] "
